County,State,Population,HousingUnits,TotalArea,WaterArea,LandArea,DensityPop,DensityHousing
Summit County,Utah,29736.00,17489.00,1882.05,11.00,1871.05,15.90,9.30
Tooele County,Utah,40735.00,13812.00,7287.12,356.76,6930.35,5.90,2.00
Uintah County,Utah,25224.00,9040.00,4498.98,21.91,4477.07,5.60,2.00
Utah County,Utah,368536.00,104315.00,2140.98,142.64,1998.33,184.40,52.20
Wasatch County,Utah,15215.00,6564.00,1209.17,31.78,1177.39,12.90,5.60
Washington County,Utah,90354.00,36478.00,2429.91,3.28,2426.62,37.20,15.00
Wayne County,Utah,2509.00,1329.00,2466.47,6.15,2460.32,1.00,0.50
Weber County,Utah,196533.00,70454.00,659.46,83.93,575.54,341.50,122.40
Addison County,Vermont,35974.00,15312.00,808.30,38.12,770.18,46.70,19.90
Bennington County,Vermont,36994.00,19403.00,677.67,1.40,676.27,54.70,28.70
Caledonia County,Vermont,29702.00,14504.00,657.52,6.94,650.59,45.70,22.30
Chittenden County,Vermont,146571.00,58864.00,619.64,80.60,539.04,271.90,109.20
Essex County,Vermont,6459.00,4762.00,673.75,8.56,665.20,9.70,7.20
Franklin County,Vermont,45417.00,19191.00,692.02,54.95,637.07,71.30,30.10
Grand Isle County,Vermont,6901.00,4663.00,194.67,112.06,82.62,83.50,56.40
Lamoille County,Vermont,23233.00,11009.00,463.75,2.78,460.97,50.40,23.90
Orange County,Vermont,28226.00,13386.00,691.74,3.18,688.56,41.00,19.40
Orleans County,Vermont,26277.00,14673.00,721.14,23.44,697.70,37.70,21.00
Rutland County,Vermont,63400.00,32311.00,944.77,12.24,932.53,68.00,34.60
Washington County,Vermont,58039.00,27644.00,695.43,6.26,689.17,84.20,40.10
Windham County,Vermont,44216.00,27039.00,798.12,9.40,788.72,56.10,34.30
Windsor County,Vermont,57418.00,31621.00,975.74,4.78,970.96,59.10,32.60
Accomack County,Virginia,38305.00,19550.00,1310.05,854.80,455.24,84.10,42.90
Albemarle County,Virginia,79236.00,33720.00,726.18,3.58,722.61,109.70,46.70
Alleghany County,Virginia,12926.00,5812.00,445.67,1.04,444.63,29.10,13.10
Amelia County,Virginia,11400.00,4609.00,358.54,1.74,356.80,32.00,12.90
Amherst County,Virginia,31894.00,12958.00,478.78,3.60,475.18,67.10,27.30
Appomattox County,Virginia,13705.00,5828.00,334.73,1.05,333.69,41.10,17.50
Arlington County,Virginia,189453.00,90426.00,25.96,0.09,25.87,7323.30,3495.40
Augusta County,Virginia,65615.00,26738.00,970.93,0.57,970.36,67.60,27.60
Bath County,Virginia,5048.00,2896.00,534.56,2.70,531.86,9.50,5.40
Bedford County,Virginia,60371.00,26841.00,769.25,14.75,754.50,80.00,35.60
Bland County,Virginia,6871.00,3161.00,358.73,0.06,358.67,19.20,8.80
Botetourt County,Virginia,30496.00,12571.00,545.94,3.28,542.66,56.20,23.20
Brunswick County,Virginia,18419.00,7541.00,569.37,3.23,566.14,32.50,13.30
Buchanan County,Virginia,26978.00,11887.00,503.88,0.00,503.88,53.50,23.60
Buckingham County,Virginia,15623.00,6290.00,583.56,2.70,580.86,26.90,10.80
Campbell County,Virginia,51078.00,22088.00,507.26,2.78,504.48,101.20,43.80
Caroline County,Virginia,22121.00,8889.00,538.89,6.36,532.52,41.50,16.70
Carroll County,Virginia,29245.00,14680.00,477.64,1.30,476.34,61.40,30.80
Charles City County,Virginia,6926.00,2895.00,204.22,21.46,182.76,37.90,15.80
Charlotte County,Virginia,12472.00,5734.00,477.44,2.45,474.99,26.30,12.10
Chesterfield County,Virginia,259903.00,97707.00,436.99,11.23,425.75,610.50,229.50
Clarke County,Virginia,12652.00,5388.00,178.19,1.57,176.62,71.60,30.50
Craig County,Virginia,5091.00,2554.00,330.61,0.00,330.61,15.40,7.70
Culpeper County,Virginia,34262.00,12871.00,382.28,1.27,381.00,89.90,33.80
Cumberland County,Virginia,9017.00,4085.00,299.73,1.28,298.45,30.20,13.70
Dickenson County,Virginia,16395.00,7684.00,333.63,1.91,331.71,49.40,23.20
Dinwiddie County,Virginia,24533.00,9707.00,506.98,3.31,503.67,48.70,19.30
Essex County,Virginia,9989.00,4926.00,285.91,28.14,257.77,38.80,19.10
Fairfax County,Virginia,969749.00,359411.00,406.61,11.57,395.04,2454.80,909.80
Fauquier County,Virginia,55139.00,21046.00,651.42,1.72,649.70,84.90,32.40
Floyd County,Virginia,13874.00,6763.00,381.23,0.01,381.22,36.40,17.70
Fluvanna County,Virginia,20047.00,8018.00,290.21,2.84,287.37,69.80,27.90
Franklin County,Virginia,47286.00,22717.00,711.56,19.48,692.08,68.30,32.80
Frederick County,Virginia,59209.00,23319.00,415.62,1.00,414.63,142.80,56.20
Giles County,Virginia,16657.00,7732.00,360.40,3.07,357.33,46.60,21.60
Gloucester County,Virginia,34780.00,14494.00,288.00,71.39,216.61,160.60,66.90
Goochland County,Virginia,16863.00,6555.00,289.99,5.56,284.43,59.30,23.00
Grayson County,Virginia,17917.00,9123.00,445.90,3.26,442.64,40.50,20.60
Greene County,Virginia,15244.00,5986.00,156.96,0.39,156.58,97.40,38.20
Greensville County,Virginia,11560.00,3765.00,296.81,1.37,295.44,39.10,12.70
Halifax County,Virginia,37355.00,16953.00,829.56,10.27,819.30,45.60,20.70
Hanover County,Virginia,86320.00,32196.00,474.08,1.40,472.68,182.60,68.10
Henrico County,Virginia,262300.00,112570.00,244.60,6.54,238.06,1101.80,472.90
Henry County,Virginia,57930.00,25921.00,384.39,2.04,382.35,151.50,67.80
Highland County,Virginia,2536.00,1822.00,415.86,0.00,415.86,6.10,4.40
Isle of Wight County,Virginia,29728.00,12066.00,362.76,46.89,315.87,94.10,38.20
James City County,Virginia,48102.00,20772.00,179.71,36.79,142.92,336.60,145.30
King and Queen County,Virginia,6630.00,3010.00,326.33,10.06,316.26,21.00,9.50
King George County,Virginia,16803.00,6820.00,187.79,7.79,180.00,93.40,37.90
King William County,Virginia,13146.00,5189.00,285.65,10.22,275.43,47.70,18.80
Lancaster County,Virginia,11567.00,6498.00,231.35,98.20,133.14,86.90,48.80
Lee County,Virginia,23589.00,11086.00,437.32,0.18,437.13,54.00,25.40
Loudoun County,Virginia,169599.00,62160.00,521.10,1.25,519.85,326.20,119.60
Louisa County,Virginia,25627.00,11855.00,510.79,13.65,497.14,51.50,23.80
Lunenburg County,Virginia,13146.00,5736.00,432.38,0.68,431.70,30.50,13.30
Madison County,Virginia,12520.00,5239.00,321.78,0.36,321.42,39.00,16.30
Mathews County,Virginia,9207.00,5333.00,251.96,166.28,85.68,107.50,62.20
Mecklenburg County,Virginia,32380.00,17403.00,679.29,55.36,623.93,51.90,27.90
Middlesex County,Virginia,9932.00,6362.00,210.75,80.46,130.30,76.20,48.80
Montgomery County,Virginia,83629.00,32527.00,389.43,1.21,388.22,215.40,83.80
Nelson County,Virginia,14445.00,8554.00,474.31,1.95,472.35,30.60,18.10
New Kent County,Virginia,13462.00,5203.00,223.48,13.93,209.55,64.20,24.80
Northampton County,Virginia,13093.00,6547.00,795.34,587.97,207.37,63.10,31.60
Northumberland County,Virginia,12259.00,8057.00,285.67,93.36,192.30,63.70,41.90
Nottoway County,Virginia,15725.00,6373.00,316.10,1.45,314.65,50.00,20.30
Orange County,Virginia,25881.00,11354.00,343.41,1.70,341.70,75.70,33.20
Page County,Virginia,23177.00,10557.00,314.09,2.97,311.13,74.50,33.90
Patrick County,Virginia,19407.00,9823.00,485.87,2.72,483.14,40.20,20.30
Pittsylvania County,Virginia,61745.00,28011.00,978.18,7.42,970.76,63.60,28.90
Powhatan County,Virginia,22377.00,7509.00,262.40,1.12,261.28,85.60,28.70
Prince Edward County,Virginia,19720.00,7527.00,353.85,1.09,352.76,55.90,21.30
Prince George County,Virginia,33047.00,10726.00,281.85,16.23,265.62,124.40,40.40
Prince William County,Virginia,280813.00,98052.00,348.36,10.58,337.78,831.30,290.30
Pulaski County,Virginia,35127.00,16325.00,329.59,9.03,320.57,109.60,50.90
Rappahannock County,Virginia,6983.00,3303.00,266.83,0.26,266.57,26.20,12.40
Richmond County,Virginia,8809.00,3512.00,216.38,24.92,191.46,46.00,18.30
Roanoke County,Virginia,85778.00,36121.00,251.04,0.18,250.87,341.90,144.00
Rockbridge County,Virginia,20808.00,9550.00,600.98,1.35,599.63,34.70,15.90
Rockingham County,Virginia,67725.00,27328.00,853.29,2.14,851.15,79.60,32.10
Russell County,Virginia,30308.00,13191.00,476.77,2.11,474.66,63.90,27.80
Scott County,Virginia,23403.00,11355.00,538.63,2.05,536.58,43.60,21.20
Shenandoah County,Virginia,35075.00,16709.00,512.53,0.32,512.20,68.50,32.60
Smyth County,Virginia,33081.00,15111.00,452.31,0.22,452.09,73.20,33.40
Southampton County,Virginia,17482.00,7058.00,602.35,2.80,599.56,29.20,11.80
Spotsylvania County,Virginia,90395.00,33329.00,412.27,11.41,400.86,225.50,83.10
Stafford County,Virginia,92446.00,31405.00,279.95,9.59,270.35,341.90,116.20
Surry County,Virginia,6829.00,3294.00,310.31,31.22,279.09,24.50,11.80
Sussex County,Virginia,12504.00,4653.00,492.83,2.10,490.73,25.50,9.50
Tazewell County,Virginia,44598.00,20390.00,519.89,0.15,519.74,85.80,39.20
Warren County,Virginia,31584.00,13299.00,216.32,2.63,213.70,147.80,62.20
Washington County,Virginia,51103.00,22985.00,565.98,3.12,562.86,90.80,40.80
Westmoreland County,Virginia,16718.00,9286.00,252.64,23.46,229.18,72.90,40.50
Wise County,Virginia,40123.00,17792.00,405.22,1.18,404.04,99.30,44.00
Wythe County,Virginia,27599.00,12744.00,464.62,1.37,463.24,59.60,27.50
York County,Virginia,56297.00,20701.00,215.52,109.87,105.65,532.90,195.90
Alexandria city,Virginia,128283.00,64251.00,15.41,0.23,15.18,8452.00,4233.20
Bedford city,Virginia,6299.00,2702.00,6.90,0.01,6.89,914.50,392.30
Bristol city,Virginia,17367.00,8469.00,13.16,0.27,12.90,1346.40,656.60
Buena Vista city,Virginia,6349.00,2716.00,6.83,0.00,6.83,929.50,397.60
Charlottesville city,Virginia,45049.00,17591.00,10.26,0.00,10.26,4389.70,1714.10
Chesapeake city,Virginia,199184.00,72672.00,350.90,10.18,340.72,584.60,213.30
Clifton Forge city,Virginia,4289.00,2069.00,3.10,0.00,3.09,1387.50,669.30
Colonial Heights city,Virginia,16897.00,7340.00,7.79,0.31,7.48,2260.30,981.90
Covington city,Virginia,6303.00,3195.00,5.67,0.00,5.67,1111.30,563.30
Danville city,Virginia,48411.00,23108.00,43.94,0.88,43.06,1124.20,536.60
Emporia city,Virginia,5665.00,2412.00,6.97,0.07,6.89,821.90,349.90
Fairfax city,Virginia,21498.00,8204.00,6.31,0.00,6.31,3406.90,1300.10
Falls Church city,Virginia,10377.00,4725.00,1.99,0.00,1.99,5225.80,2379.50
Franklin city,Virginia,8346.00,3767.00,8.40,0.05,8.35,999.20,451.00
Fredericksburg city,Virginia,19279.00,8888.00,10.52,0.00,10.52,1833.00,845.00
Galax city,Virginia,6837.00,3217.00,8.23,0.00,8.23,830.90,391.00
Hampton city,Virginia,146437.00,57311.00,136.23,84.45,51.78,2828.00,1106.80
Harrisonburg city,Virginia,40468.00,13689.00,17.59,0.03,17.56,2304.40,779.50
Hopewell city,Virginia,22354.00,9749.00,10.82,0.58,10.24,2182.30,951.70
Lexington city,Virginia,6867.00,2376.00,2.49,0.00,2.49,2753.80,952.80
Lynchburg city,Virginia,65269.00,27640.00,49.76,0.37,49.39,1321.50,559.60
Manassas city,Virginia,35135.00,12114.00,9.96,0.02,9.93,3537.00,1219.50
Manassas Park city,Virginia,10290.00,3365.00,2.49,0.00,2.49,4129.00,1350.30
Martinsville city,Virginia,15416.00,7249.00,11.01,0.05,10.96,1407.10,661.70
Newport News city,Virginia,180150.00,74117.00,119.05,50.76,68.29,2637.90,1085.30
Norfolk city,Virginia,234403.00,94416.00,96.30,42.58,53.73,4362.80,1757.30
Norton city,Virginia,3904.00,1946.00,7.53,0.00,7.53,518.50,258.40
Petersburg city,Virginia,33740.00,15955.00,23.19,0.30,22.88,1474.60,697.30
Poquoson city,Virginia,11566.00,4300.00,78.43,62.91,15.52,745.40,277.10
Portsmouth city,Virginia,100565.00,41605.00,46.62,13.46,33.16,3032.70,1254.70
Radford city,Virginia,15859.00,6137.00,10.19,0.37,9.82,1615.20,625.00
Richmond city,Virginia,197790.00,92282.00,62.55,2.48,60.07,3292.60,1536.20
Roanoke city,Virginia,94911.00,45257.00,42.91,0.03,42.88,2213.20,1055.30
Salem city,Virginia,24747.00,10403.00,14.59,0.00,14.59,1696.40,713.10
Staunton city,Virginia,23853.00,10427.00,19.71,0.00,19.71,1210.30,529.10
Suffolk city,Virginia,63677.00,24704.00,429.07,29.05,400.02,159.20,61.80
Virginia Beach city,Virginia,425257.00,162277.00,497.33,249.03,248.29,1712.70,653.60
Waynesboro city,Virginia,19520.00,8863.00,15.38,0.02,15.36,1270.80,577.00
Williamsburg city,Virginia,11998.00,3880.00,8.67,0.13,8.54,1404.10,454.10
Winchester city,Virginia,23585.00,10587.00,9.33,0.00,9.33,2526.70,1134.20
Adams County,Washington,16428.00,5773.00,1929.69,4.73,1924.96,8.50,3.00
Asotin County,Washington,20551.00,9111.00,640.69,5.34,635.34,32.30,14.30
Benton County,Washington,142475.00,55963.00,1760.12,57.03,1703.09,83.70,32.90
Chelan County,Washington,66616.00,30407.00,2993.62,72.25,2921.37,22.80,10.40
Clallam County,Washington,64525.00,30683.00,2670.34,930.89,1739.45,37.10,17.60
Clark County,Washington,345238.00,134030.00,656.22,27.99,628.22,549.50,213.30
Columbia County,Washington,4064.00,2018.00,873.53,4.71,868.81,4.70,2.30
Cowlitz County,Washington,92948.00,38624.00,1166.33,27.69,1138.64,81.60,33.90
Douglas County,Washington,32603.00,12944.00,1848.69,28.17,1820.53,17.90,7.10
Ferry County,Washington,7260.00,3775.00,2257.46,53.48,2203.98,3.30,1.70
Franklin County,Washington,49347.00,16084.00,1265.35,22.95,1242.40,39.70,12.90
Garfield County,Washington,2397.00,1288.00,718.19,7.64,710.55,3.40,1.80
Grant County,Washington,74698.00,29081.00,2791.29,110.23,2681.06,27.90,10.80
Grays Harbor County,Washington,67194.00,32489.00,2224.44,307.55,1916.89,35.10,16.90
Island County,Washington,71558.00,32378.00,517.39,308.95,208.43,343.30,155.30
Jefferson County,Washington,25953.00,14144.00,2183.52,369.29,1814.23,14.30,7.80
King County,Washington,1737034.00,742237.00,2306.53,180.48,2126.04,817.00,349.10
Kitsap County,Washington,231969.00,92644.00,565.98,170.01,395.97,585.80,234.00
Kittitas County,Washington,33362.00,16475.00,2333.11,35.93,2297.19,14.50,7.20
Klickitat County,Washington,19161.00,8633.00,1904.18,31.80,1872.37,10.20,4.60
Lewis County,Washington,68600.00,29585.00,2436.26,28.63,2407.64,28.50,12.30
Lincoln County,Washington,10184.00,5298.00,2339.71,28.51,2311.21,4.40,2.30
Mason County,Washington,49405.00,25515.00,1051.03,89.97,961.06,51.40,26.50
Okanogan County,Washington,39564.00,19085.00,5315.16,47.09,5268.07,7.50,3.60
Pacific County,Washington,20984.00,13991.00,1223.50,290.52,932.97,22.50,15.00
Pend Oreille County,Washington,11732.00,6608.00,1425.32,25.05,1400.27,8.40,4.70
Pierce County,Washington,700820.00,277060.00,1806.50,127.58,1678.91,417.40,165.00
San Juan County,Washington,14077.00,9752.00,621.07,446.15,174.92,80.50,55.80
Skagit County,Washington,102979.00,42681.00,1920.47,185.33,1735.14,59.30,24.60
Skamania County,Washington,9872.00,4576.00,1683.86,27.42,1656.44,6.00,2.80
Snohomish County,Washington,606024.00,236205.00,2196.41,107.35,2089.06,290.10,113.10
Spokane County,Washington,417939.00,175005.00,1780.72,17.09,1763.64,237.00,99.20
Stevens County,Washington,40066.00,17599.00,2540.64,62.34,2478.30,16.20,7.10
Thurston County,Washington,207355.00,86652.00,773.64,46.62,727.02,285.20,119.20
Wahkiakum County,Washington,3824.00,1792.00,286.69,22.45,264.24,14.50,6.80
Walla Walla County,Washington,55180.00,21147.00,1299.25,28.74,1270.51,43.40,16.60
Whatcom County,Washington,166814.00,73893.00,2503.55,384.02,2119.53,78.70,34.90
Whitman County,Washington,40740.00,16676.00,2177.60,18.23,2159.37,18.90,7.70
Yakima County,Washington,222581.00,79174.00,4311.61,15.38,4296.23,51.80,18.40
Barbour County,West Virginia,15557.00,7348.00,342.75,1.96,340.79,45.70,21.60
Berkeley County,West Virginia,75905.00,32913.00,321.58,0.44,321.14,236.40,102.50
Boone County,West Virginia,25535.00,11575.00,503.18,0.20,502.98,50.80,23.00
Braxton County,West Virginia,14702.00,7374.00,516.17,2.69,513.48,28.60,14.40
Brooke County,West Virginia,25447.00,11150.00,92.26,3.41,88.85,286.40,125.50
Cabell County,West Virginia,96784.00,45615.00,288.02,6.43,281.59,343.70,162.00
Calhoun County,West Virginia,7582.00,3848.00,280.64,0.02,280.62,27.00,13.70
Clay County,West Virginia,10330.00,4836.00,343.82,1.42,342.40,30.20,14.10
Doddridge County,West Virginia,7403.00,3661.00,320.48,0.05,320.43,23.10,11.40
Fayette County,West Virginia,47579.00,21616.00,668.36,4.43,663.93,71.70,32.60
Gilmer County,West Virginia,7160.00,3621.00,340.07,0.02,340.05,21.10,10.60
Grant County,West Virginia,11299.00,6105.00,480.19,2.99,477.21,23.70,12.80
Greenbrier County,West Virginia,34453.00,17644.00,1024.43,3.17,1021.26,33.70,17.30
Hampshire County,West Virginia,20203.00,11185.00,644.62,2.90,641.72,31.50,17.40
Hancock County,West Virginia,32667.00,14728.00,88.35,5.53,82.82,394.40,177.80
Hardy County,West Virginia,12669.00,7115.00,584.48,1.09,583.39,21.70,12.20
Harrison County,West Virginia,68652.00,31112.00,416.60,0.56,416.04,165.00,74.80
Jackson County,West Virginia,28000.00,12245.00,471.59,5.80,465.79,60.10,26.30
Jefferson County,West Virginia,42190.00,17623.00,211.57,2.03,209.53,201.40,84.10
Kanawha County,West Virginia,200073.00,93788.00,910.99,7.89,903.10,221.50,103.90
Lewis County,West Virginia,16919.00,7944.00,389.75,7.61,382.14,44.30,20.80
Lincoln County,West Virginia,22108.00,9846.00,438.59,1.16,437.43,50.50,22.50
Logan County,West Virginia,37710.00,16807.00,455.61,1.40,454.21,83.00,37.00
McDowell County,West Virginia,27329.00,13582.00,534.90,0.18,534.72,51.10,25.40
Marion County,West Virginia,56598.00,26660.00,311.49,1.80,309.69,182.80,86.10
Marshall County,West Virginia,35519.00,15814.00,312.18,5.19,306.99,115.70,51.50
Mason County,West Virginia,25957.00,12056.00,444.80,12.95,431.85,60.10,27.90
Mercer County,West Virginia,62980.00,30143.00,420.69,0.26,420.43,149.80,71.70
Mineral County,West Virginia,27078.00,12094.00,329.13,1.40,327.73,82.60,36.90
Mingo County,West Virginia,28253.00,12898.00,423.64,1.03,422.61,66.90,30.50
Monongalia County,West Virginia,81866.00,36695.00,365.89,4.73,361.16,226.70,101.60
Monroe County,West Virginia,14583.00,7267.00,473.66,0.30,473.37,30.80,15.40
Morgan County,West Virginia,14943.00,8076.00,229.67,0.68,228.98,65.30,35.30
Nicholas County,West Virginia,26562.00,12406.00,654.40,5.77,648.63,41.00,19.10
Ohio County,West Virginia,47427.00,22166.00,108.86,2.68,106.18,446.70,208.80
Pendleton County,West Virginia,8196.00,5102.00,698.15,0.28,697.87,11.70,7.30
Pleasants County,West Virginia,7514.00,3214.00,134.59,3.86,130.73,57.50,24.60
Pocahontas County,West Virginia,9131.00,7594.00,941.85,1.56,940.29,9.70,8.10
Preston County,West Virginia,29334.00,13444.00,651.39,3.06,648.32,45.20,20.70
Putnam County,West Virginia,51589.00,21621.00,350.40,4.17,346.23,149.00,62.40
Raleigh County,West Virginia,79220.00,35678.00,609.34,2.41,606.93,130.50,58.80
Randolph County,West Virginia,28262.00,13478.00,1039.92,0.20,1039.72,27.20,13.00
Ritchie County,West Virginia,10343.00,5513.00,453.58,0.07,453.51,22.80,12.20
Roane County,West Virginia,15446.00,7360.00,483.75,0.18,483.57,31.90,15.20
Summers County,West Virginia,12999.00,7331.00,367.72,6.54,361.17,36.00,20.30
Taylor County,West Virginia,16089.00,7125.00,175.69,2.91,172.78,93.10,41.20
Tucker County,West Virginia,7321.00,4634.00,421.11,2.24,418.87,17.50,11.10
Tyler County,West Virginia,9592.00,4780.00,260.69,3.14,257.56,37.20,18.60
Upshur County,West Virginia,23404.00,10751.00,354.86,0.10,354.76,66.00,30.30
Wayne County,West Virginia,42903.00,19107.00,512.19,6.40,505.79,84.80,37.80
Webster County,West Virginia,9719.00,5273.00,556.15,0.18,555.97,17.50,9.50
Wetzel County,West Virginia,17693.00,8313.00,361.37,2.14,359.22,49.30,23.10
Wirt County,West Virginia,5873.00,3266.00,234.83,1.85,232.99,25.20,14.00
Wood County,West Virginia,87986.00,39785.00,376.94,9.65,367.29,239.60,108.30
Wyoming County,West Virginia,25708.00,11698.00,501.82,0.94,500.88,51.30,23.40
Adams County,Wisconsin,18643.00,14123.00,688.51,40.78,647.74,28.80,21.80
Ashland County,Wisconsin,16866.00,8883.00,2293.73,1249.91,1043.82,16.20,8.50
Barron County,Wisconsin,44963.00,20969.00,890.02,27.18,862.84,52.10,24.30
Bayfield County,Wisconsin,15013.00,11640.00,2041.53,565.28,1476.25,10.20,7.90
Brown County,Wisconsin,226778.00,90199.00,615.42,86.75,528.68,429.00,170.60
Buffalo County,Wisconsin,13804.00,6098.00,709.58,25.11,684.47,20.20,8.90
Burnett County,Wisconsin,15674.00,12582.00,880.38,58.86,821.52,19.10,15.30
Calumet County,Wisconsin,40631.00,15758.00,397.03,77.19,319.84,127.00,49.30
Chippewa County,Wisconsin,55195.00,22821.00,1041.32,30.89,1010.43,54.60,22.60
Clark County,Wisconsin,33557.00,13531.00,1219.08,3.44,1215.64,27.60,11.10
Columbia County,Wisconsin,52468.00,22685.00,795.70,21.91,773.79,67.80,29.30
Crawford County,Wisconsin,17243.00,8480.00,599.22,26.53,572.69,30.10,14.80
Dane County,Wisconsin,426526.00,180398.00,1238.32,36.42,1201.89,354.90,150.10
Dodge County,Wisconsin,85897.00,33672.00,906.99,24.71,882.28,97.40,38.20
Door County,Wisconsin,27961.00,19587.00,2369.83,1887.11,482.72,57.90,40.60
Douglas County,Wisconsin,43287.00,20356.00,1479.91,170.78,1309.13,33.10,15.50
Dunn County,Wisconsin,39858.00,15277.00,863.91,11.89,852.03,46.80,17.90
Eau Claire County,Wisconsin,93142.00,37474.00,645.28,7.64,637.64,146.10,58.80
Florence County,Wisconsin,5088.00,4239.00,497.46,9.43,488.03,10.40,8.70
Fond du Lac County,Wisconsin,97296.00,39271.00,765.80,42.89,722.91,134.60,54.30
Forest County,Wisconsin,10024.00,8322.00,1046.40,32.34,1014.05,9.90,8.20
Grant County,Wisconsin,49597.00,19940.00,1183.31,35.46,1147.85,43.20,17.40
